iter	Passed	Remaining
0	0	31
1	0	29
2	0	27
3	1	25
4	1	25
5	1	25
6	1	25
7	2	24
8	2	24
9	2	24
10	2	24
11	3	23
12	3	23
13	3	23
14	4	23
15	4	22
16	4	22
17	4	22
18	5	21
19	5	21
20	5	21
21	5	21
22	6	20
23	6	20
24	6	20
25	7	20
26	7	19
27	7	19
28	7	19
29	8	19
30	8	18
31	8	18
32	9	18
33	9	18
34	9	17
35	9	17
36	10	17
37	10	17
38	10	16
39	11	16
40	11	16
41	11	15
42	11	15
43	12	15
44	12	15
45	12	14
46	13	14
47	13	14
48	13	14
49	13	13
50	14	13
51	14	13
52	14	13
53	15	12
54	15	12
55	15	12
56	15	11
57	16	11
58	16	11
59	16	11
60	16	10
61	17	10
62	17	10
63	17	10
64	18	9
65	18	9
66	18	9
67	18	8
68	19	8
69	19	8
70	19	8
71	20	7
72	20	7
73	20	7
74	21	7
75	21	6
76	21	6
77	22	6
78	22	5
79	22	5
80	22	5
81	23	5
82	23	4
83	23	4
84	24	4
85	24	3
86	24	3
87	24	3
88	25	3
89	25	2
90	25	2
91	26	2
92	26	1
93	26	1
94	27	1
95	27	1
96	27	0
97	27	0
98	28	0
99	28	0
